Indonesia,Madura
"maua meapatkasesuatu ya besar, muakhira tidak meapatkaapa-apa.","ka bârâ' ta' jâpo' , ka tèmor ta' jâpo' "
ombak memutih kelihatadari darata,"ombâ' apotè, katoḍâri tèghâan"
diteah-teaha,"ètea, di a-teaa"
seteah dua belas,satea ḍu bellâs
retak hampir akapecah.,tear para' bhâsaa
buru kutila berloatadi rai-rai sambil berkicau saat merdu.,ma' kojhu' ca'-loa'aè ca'-raa' sambi ocè cè' teè
kertasa saat tipis,dhâlubâa cè' tèpèssa
meiplak karya ora lai,ppa ahidhâa orè laèn
seda bekerja disusul kakak.,teppa' alako èsosol kaka'
membak buru ke sayapa.,̀mba' ma' teppa' ka bâbâa
aka telah lahir.,a' la terbi'
kemarahaya mulai mereda,apoyya molaè tèrep 
tamaya diiak-iak babi hutan,tamea èrak-terrak cèlè
bila hujatelah reda kamu cepat pula.,moojhâa la terra bâ' dhuli molè
"dikarekasakit parah, lalu diberi obat terus-terusa",pola sakè' sara pas èterter hi' obhât
tidak bisa diperiah.,ta' keè ètèta
aku i mema jago,tèya rèya lakar jâgu
saya i aku i haa memperiatka,atèya rèya coma èa'aghi
makasoto jika haa satu makuk terasa kura,akasoto mosatobu arassa kora
dikatakakepada ora ya tidak tahu diri.,ta' toḍus ka jâ-bâjâa dhibi' 
"sejak pagi sudah berada di sawah, berjaga-jaga bersama kawakawa maawasi hasil ta.","salagghu  è sabâ, ghutoghu so ca-kaa, ajâgâ asèl tà"
"kepa tidak seperti biasaa kamu tidak meapa, barakali aku pua salah terhadapmu.","arapa ma' jjhù ta' apa, la-pola sèko' ai' sala"
belum maap pikiraya.,ghi' ta' toju' pèkkèrra 
layan,toka mèghâ' jhuko'
memalu paku ke kayu.,kol pako ḍâ' kaju
meleh ke belaka,atolè ka buḍi
tidak meleh sedikitpun,ta' atolè samasakalè
meleh ke kiri.,atolè ka kacèr
perlu pertoloa,lo-tolo kramat bhejjhât 
ora itu perh dihukum kare meuri ayam,orè rowa tomaèokom amarghâ èco' ajâm
taeku perh terjatuh di dekat jalaperempatan,ta bhibbhi' tomalabu èseddhi' jhâlâparempadhân
tidak sekalipusaya perh dikibuli ora.,ta' matomasèko' èco-koco orè
jaadiberi lagi agar tidak keeka,jhâ' berri' polè ma' lè ta' katoman
dikatakakepada ora ya bertekar deaora ya masih ada hubuakeluarga,tombhâk oso tèatè
meletakkabara deacara ditaruh di atas sesuatu.,abâ' bhârâ kalabâcara ètompa
tidak mau megu kawajibaya,ta' eâ' katompaa
dikatakakepada ora ya mudah tersigu datidak kebal kritik,ta' keè ketompaaoca' 
tidak sedikitpumegu kewajbaatau tugas,ta' ketompaajhârum potoa 
mempuk-mpuk bara ya tidak bergu,po'mpo' bhârâ ta' aghu
"pisaua tumpul, segera diasah supaya bisa dipakai uuk meiris bawa.","toḍi' tompol, dhuli ghâsè ma'lè bisa èaghuy èrsèr bhâbâ"
"meskipumealami kerugiatidak meadi masalah, ya terpei bisa bertemu deasak keluarga.","to sata', bhâṭè sa' "
meapu halamasambil meuk-uk,apo tàyasambi ḍu'-u'
jika dimarahi gurua lalu meuk tidak bera metap,moèghighiri ghuru lajhu pas u' ta' bâal ajhelli
bekerja deagiat taa baak bicara.,ḍu'-u' mèa tampar 
ayam itu berteger diatas pagar,ajâm rowa ko'-ko' èattassâ paghâr
ora i jika dibiarkasemakibersikap kura ajar.,orè rèya moèpee sajâko'-ko'
tadi malam rumaha tuka becak terbakar.,malemma roma toka bèca' keton
"makasoto deaketupat, tidak mau deasi","akasoto aghuy topa', ta' eâ' aghuy sè'"
dikatakakepada ora ya terperaah kare merasa terlambat segala usahaa atau tiakaya,mara topè kasèyaa
laki daperempua,lakè' tor bì'
,torè yatorè lèghi
tidak meikuti periah,lo' atoro' parèa
meikuti kemapukaki melakah,ro' sapalajhu soko
tidak mau patuh,ta' ghellem atoro' oca'
merutkasekeheak hatia,ro' karebbhâ dhibi'
ikut semuaa taa terkecuali,ro' bi' koto toma 
"jika hawa fsu dituruti, akhira bisa meelakakadiri seiri, seharusa melakukaapa saja harus hati-hati.","ro' atè matè, ro' mata buta "
silsilah raja Bakalan,rotomoroa rato Bhâkalan
biarkasupaya jatuh.,torot ma'lè labu
ayama sudah tidak liar,ajâmma ella tot
buru i jik sekali.,ma' rèya cè' toddhâ
duriaya cepat dipetik kare sudah baak ya masak,dhuria dhuli polo pola la bâya' sè massa'
ora ya pula ke tah kelahiraya.,trata ocol ka alas 
sudah jaaramai-ramai,uwis jhâ' mè-rammè
sudahlah!,uwis rapa kah!
saat ek makapudi bercampur a.,cè' amaa akapoḍé ècampor a
wah! kok pula?,wa! mè' mole?
wah! kok dijatuhka,wa! mè' èpaghâgghâr?
"jika meaku ora Islam, wajib melaksakashalat ya lima waktu.","moako orè Èslam, wâjib alampaaghi sholat sè lèma bâkto"
ya saya segera akapula,yâ sèko' pas molèa
